capture_id,sequence,route,ui_state,data,framing,narration_focus,expected_proof,canonical_filename,status
G05-S01,1,/app/reservations,Calendrier avant création,Jour futur avec créneau libre préparé,Vue large titre calendrier et journée,Préparer avant de saisir,Contexte du planning visible,G05-RESERVATION__S01-CALENDRIER-AVANT__desktop__fr__v01.png,a_produire
G05-S02,2,/app/reservations,Modale vierge,Durée 60 et statut Confirmée par défaut,Vue complète de la modale,Création sans page séparée,Titre et champs visibles,G05-RESERVATION__S02-MODALE-VIERGE__desktop__fr__v01.png,a_produire
G05-S03,3,/app/reservations,Relations sélectionnées,Léa Moreau plus Nora Bouchard plus Consultation couleur,Gros plan première rangée,Relier membre client service,Trois sélections lisibles,G05-RESERVATION__S03-MEMBRE-CLIENT-SERVICE__desktop__fr__v01.png,a_produire
G05-S04,4,/app/reservations,Plage et statut remplis,Créneau occupé futur plus 30 minutes plus Confirmée,Gros plan date heure durée statut,Cohérence début fin durée,Valeurs cohérentes,G05-RESERVATION__S04-PLAGE-STATUT__desktop__fr__v01.png,a_produire
G05-S05,5,/app/reservations,Deux notes remplies,Notes client et internes canoniques,Gros plan deux zones,Distinguer leurs destinataires,Textes non inversés,G05-RESERVATION__S05-NOTES-SEPAREES__desktop__fr__v01.png,a_produire
G05-S06,6,/app/reservations,Erreur de conflit,Créneau déjà occupé,Gros plan champ Début et erreur,Contrôle serveur réel,Aucun doublon et erreur visible,G05-RESERVATION__S06-ERREUR-CONFLIT__desktop__fr__v01.png,a_produire
G05-S07,7,/app/reservations,Formulaire corrigé,Créneau libre préparé plus 30 minutes,Vue complète relue,Corriger sans perdre les données,Formulaire prêt à créer,G05-RESERVATION__S07-CRENEAU-CORRIGE__desktop__fr__v01.png,a_produire
G05-S08,8,/app/reservations,Calendrier après création,Nora Bouchard à l'heure préparée,Vue journée avec événement,Première preuve persistante,Événement unique visible,G05-RESERVATION__S08-SUCCES-CALENDRIER__desktop__fr__v01.png,a_produire
G05-S09,9,/app/reservations,Détails internes ouverts,Nora Léa Consultation couleur Confirmée,Modale de détails complète,Relire ce qui est enregistré,Relations plage statut notes visibles,G05-RESERVATION__S09-DETAILS-CREES__desktop__fr__v01.png,a_produire
G05-S10,10,/app/reservations,Vue Liste filtrée,Nora et heure préparée,Vue large liste et ligne,Deuxième preuve persistante,Une ligne correspondante,G05-RESERVATION__S10-PREUVE-LISTE__desktop__fr__v01.png,a_produire
G05-S11,11,/settings/reservations,Lien public actif,Consultation couleur plus confirmation manuelle,Carte du lien sans secret,Obtenir l'URL depuis l'application,Lien et politique visibles,G05-RESERVATION__S11-LIEN-PUBLIC-ACTIF__desktop__fr__v01.png,a_produire
G05-S12,12,/book/{company}/{slug},Étape Service,Consultation couleur,Vue mobile ou desktop du parcours invité,Différence avec la modale interne,Service autorisé sélectionné,G05-RESERVATION__S12-PUBLIC-SERVICE__desktop__fr__v01.png,a_produire
G05-S13,13,/book/{company}/{slug},Étapes Date et Horaire,Créneau futur disponible,Calendrier puis heures disponibles,Créneaux calculés par l'application,Date et heure sélectionnées,G05-RESERVATION__S13-PUBLIC-DATE-HEURE__desktop__fr__v01.png,a_produire
G05-S14,14,/book/{company}/{slug},Étape Personne,Première personne disponible,Gros plan choix personne,Affectation automatique,Option auto sélectionnée,G05-RESERVATION__S14-PUBLIC-AFFECTATION-AUTO__desktop__fr__v01.png,a_produire
G05-S15,15,/book/{company}/{slug},Récapitulatif avant confirmation,Mila Tremblay plus example.test,Vue récapitulatif et avis manuel,Champs publics et confirmation manuelle,Données fictives cohérentes,G05-RESERVATION__S15-PUBLIC-RECAPITULATIF__desktop__fr__v01.png,a_produire
G05-S16,16,/book/{company}/{slug},Succès public,Demande Mila envoyée à confirmer,Carte de confirmation complète,Demande versus confirmation,Résumé et message de confirmation manuelle,G05-RESERVATION__S16-PUBLIC-SUCCES-ATTENTE__desktop__fr__v01.png,a_produire
G05-S17,17,/app/reservations,Détails demande publique,Mila Tremblay prospect En attente,Gros plan cartouche public,Provenance et prospect,Cartouche contact et lien visibles,G05-RESERVATION__S17-PREUVE-PUBLIC-INTERNE__desktop__fr__v01.png,a_produire
G05-S18,18,/app/reservations,Conversion client non exécutée,Vérification Mila sans création,Gros plan zone conversion,Pas de client automatique,Options visibles sans mutation,G05-RESERVATION__S18-CONVERSION-SANS-EXECUTER__desktop__fr__v01.png,a_produire
