episode_id,title,objective,audience,target_duration,depends_on,reused_by,production_status,publication_url
F00,Présentation du fondateur,Créer un lien humain et expliquer la raison d'être de Malikia Pro,Prospects et nouveaux utilisateurs,60-90 s,Aucune,Toutes les pages de présentation,brief_pending_founder_data,
G01,Terminer l'onboarding,Créer le compte configurer l'espace franchir la 2FA et atteindre le tableau de bord,Propriétaires et administrateurs,14-18 min master + 5-6 min capsule,Aucune,Toutes les démonstrations métier,detailed_script_ready_captures_pending,
G02,Se repérer dans Malikia Pro,Comprendre le tableau de bord les hubs la recherche et les actions rapides,Nouveaux utilisateurs,7-9 min master + 2-3 min capsule,G01,Tous les tutoriels fonctionnels,detailed_script_ready_captures_pending,
G03,Créer un client,Ajouter une fiche client propre comprendre les choix et prouver sa réutilisation,Équipe accueil ventes et opérations,10-12 min master + 3-4 min capsule,G02,Salon services terrain commerce et CRM,detailed_script_ready_captures_pending,
G04,Créer une prestation,Créer une prestation active et la prouver dans Réservations,Propriétaires et gestionnaires,9-11 min master + 3-4 min capsule,G02,Salon services terrain réservation et facturation,detailed_script_ready_captures_pending,
G05,Créer une réservation,Planifier sans conflit et distinguer réservation interne et demande publique,Accueil et équipe opérationnelle,12-15 min master + 4-5 min capsule,G03|G04,Salon beauté restaurant et activités sur rendez-vous,detailed_script_ready_captures_pending,
G06,Créer une promotion,Configurer une remise ciblée et prouver sa réutilisation sans simuler son application financière,Propriétaires marketing et accueil,11-13 min master + 3-4 min capsule,G02|G04,Salon commerce fidélité et campagnes,detailed_script_ready_captures_pending,
G07,Ajouter un membre à l'équipe,Créer un membre avec un rôle limité et une invitation contrôlée,Propriétaires et administrateurs,10-12 min master + 3-4 min capsule,G01|G02,Toutes les démonstrations avec plusieurs rôles,detailed_script_ready_captures_pending,
G08,Facturer et encaisser,Clôturer un service comptant réconcilier facture pourboire paiement et reçu,Propriétaires accueil et finance,10-13 min master + 4-5 min capsule,G03|G04|G05,Salon services commerce et portail client,detailed_script_ready_captures_pending,
M01,Démo Salon Éclat,Raconter une journée salon de la réservation à la fidélisation,Propriétaires de salons et instituts,13-16 min,G01|G03|G04|G05|G06|G07|G08,Page Salon et démonstrations commerciales,existing_runbook,
