capture_id,sequence,route,ui_state,data,framing,narration_focus,expected_proof,canonical_filename,status
G04-S01,1,/service,Recherche sans résultat,Consultation couleur,Vue large avec titre recherche et table,Prévenir un doublon non bloqué,Aucune ligne exacte visible,G04-PRESTATION__S01-RECHERCHE-ABSENTE__desktop__fr__v01.png,a_produire
G04-S02,2,/service,Modale Nouveau service vierge,Catégorie préselectionnée et prix 0,Vue générale modale avec URL ou contexte liste,Création dans une modale,Route inchangée et sections visibles,G04-PRESTATION__S02-MODALE-VIERGE__desktop__fr__v01.png,a_produire
G04-S03,3,/service,Identité remplie,Consultation couleur et Coloration,Gros plan nom et catégorie,Nom et classement explicites,Deux champs requis lisibles,G04-PRESTATION__S03-NOM-CATEGORIE__desktop__fr__v01.png,a_produire
G04-S04,4,/service,Unité et taxe remplies,Pièce et 14.975,Gros plan unité et taux taxe,Unité différente de durée,Valeurs cohérentes et lisibles,G04-PRESTATION__S04-UNITE-TAXE__desktop__fr__v01.png,a_produire
G04-S05,5,/service,Prix et devise,35.00 et CAD,Gros plan prix et note devise,Devise héritée du compte,Prix et CAD visibles,G04-PRESTATION__S05-PRIX-DEVISE__desktop__fr__v01.png,a_produire
G04-S06,6,/service,Statut description et image,Actif plus description canonique sans image,Vue médiane sur les trois contrôles,Disponibilité contenu et visuel par défaut,État actif et texte exact,G04-PRESTATION__S06-STATUT-DESCRIPTION-IMAGE__desktop__fr__v01.png,a_produire
G04-S07,7,/service,Section Matériaux vide,Aucun matériau,Gros plan titre bouton et état vide,Choix volontaire de ne rien ajouter,Message état vide visible,G04-PRESTATION__S07-MATERIAUX-VIDES__desktop__fr__v01.png,a_produire
G04-S08,8,/service,Erreur de champ requis,Nom temporairement vide,Gros plan récapitulatif erreur et champ nom,Validation et correction,Erreur réelle visible sans perte des autres valeurs,G04-PRESTATION__S08-ERREUR-NOM-REQUIS__desktop__fr__v01.png,a_produire
G04-S09,9,/service,Formulaire corrigé avant soumission,Consultation couleur restauré,Vue basse avec les trois actions,Comparer les sorties,Boutons Annuler enchaîner et créer lisibles,G04-PRESTATION__S09-ACTIONS-ENREGISTREMENT__desktop__fr__v01.png,a_produire
G04-S10,10,/service,Retour liste après création,Message succès si visible et modale fermée,Vue large liste et contexte route,Comportement réel de sauvegarde,Retour sur la liste confirmé,G04-PRESTATION__S10-RETOUR-LISTE__desktop__fr__v01.png,a_produire
G04-S11,11,/service,Recherche de la ligne créée,Consultation couleur 35 CAD Coloration Actif,Vue de la ligne entière,Preuve de création catalogue,Nom prix catégorie et statut visibles,G04-PRESTATION__S11-LIGNE-CREEE__desktop__fr__v01.png,a_produire
G04-S12,12,/service,Modale Modifier service,Champs canoniques persistés,Vue générale puis détail taxe description,Vérifier les valeurs moins visibles,Unité taxe description et statut cohérents,G04-PRESTATION__S12-REOUVERTURE-EDITION__desktop__fr__v01.png,a_produire
G04-S13,13,/app/reservations,Nouvelle réservation avec sélecteur prestation,Consultation couleur,Gros plan sélecteur ouvert,Preuve fonctionnelle aval,Prestation active sélectionnable,G04-PRESTATION__S13-PREUVE-RESERVATION__desktop__fr__v01.png,a_produire
G04-S14,14,/service,Annexe catégorie et matériau sans soumission,Catégorie en ligne plus ligne matériau,Montage en deux gros plans avec cartouche annexe,Variantes optionnelles,Contrôles visibles sans donnée enregistrée,G04-PRESTATION__S14-VARIANTES-CATEGORIE-MATERIAU__desktop__fr__v01.png,a_produire
