capture_id,sequence,route,ui_state,data,framing,narration_focus,expected_proof,canonical_filename,status
G01-S01,1,/onboarding,Visiteur étape Compte,Sept étapes et étapes entreprise verrouillées,Vue large avec progression et carte Compte,Différence invité propriétaire,Seule Compte est accessible,G01-ONBOARDING__S01-ACCUEIL-INVITE__desktop__fr__v01.png,a_produire
G01-S02,2,/onboarding,Formulaire de création du propriétaire,Amina Diallo et courriel example.test sans secret,Vue de la carte courriel avant soumission,Créer le compte propriétaire,Champs identité visibles et mot de passe masqué,G01-ONBOARDING__S02-CREATION-COMPTE__desktop__fr__v01.png,a_produire
G01-S03,3,/onboarding,Propriétaire connecté étape Entreprise,Six étapes et preset vide,Vue large après redirection,Deux phases compte puis espace,Entreprise devient première étape,G01-ONBOARDING__S03-RETOUR-PROPRIETAIRE__desktop__fr__v01.png,a_produire
G01-S04,4,/onboarding,Identité entreprise remplie,Salon Éclat et description canonique,Gros plan nom logo optionnel et description,Identité et champs optionnels,Nom et description cohérents,G01-ONBOARDING__S04-IDENTITE-ENTREPRISE__desktop__fr__v01.png,a_produire
G01-S05,5,/onboarding,Adresse manuelle et devise,Montréal Québec Canada CAD,Gros plan adresse manuelle et devise,Ce qui est réellement persisté,Ville région pays et CAD lisibles,G01-ONBOARDING__S05-ADRESSE-DEVISE__desktop__fr__v01.png,a_produire
G01-S06,6,/onboarding,Étape Type,Entreprise de services,Vue carte type complète,Services versus produits,Radio Services sélectionné,G01-ONBOARDING__S06-TYPE-SERVICES__desktop__fr__v01.png,a_produire
G01-S07,7,/onboarding,Étape Secteur,Salon de coiffure beauté,Gros plan sélecteur et note services,Préparation du contexte métier,Secteur Salon visible,G01-ONBOARDING__S07-SECTEUR-SALON__desktop__fr__v01.png,a_produire
G01-S08,8,/onboarding,Configuration Team,Taille prévue 3,Vue carte taille recommandation et zone équipe,La taille oriente l'audience,Profil Team de trois personnes visible,G01-ONBOARDING__S08-TAILLE-EQUIPE__desktop__fr__v01.png,a_produire
G01-S09,9,/onboarding,Invitation temporaire non soumise,Léa Moreau email example.test rôle Membre,Gros plan ligne invitation avec action Supprimer,Rôles et vrai effet de l'invitation,Ligne fictive visible avant retrait,G01-ONBOARDING__S09-INVITATION-OPTIONNELLE__desktop__fr__v01.png,a_produire
G01-S10,10,/onboarding,Recommandation pour trois personnes,Plan Team recommandé,Vue recommandation avec badge capacité,Compatibilité Solo Team,Recommandation Team et capacité lisibles,G01-ONBOARDING__S10-RECOMMANDATION-TEAM__desktop__fr__v01.png,a_produire
G01-S11,11,/onboarding,Comparaison des périodes,CAD Mensuel et Annuel,Vue large en haut de l'étape Forfait,Période devise essai,Toggle période et date d'essai visibles,G01-ONBOARDING__S11-PERIODE-FACTURATION__desktop__fr__v01.png,a_produire
G01-S12,12,/onboarding,Plan sélectionné et conditions acceptées,Team Core starter Mensuel,Gros plan cartes résumé case conditions,Choix conscient du plan,Plan sélectionné et case cochée,G01-ONBOARDING__S12-FORFAIT-CONDITIONS__desktop__fr__v01.png,a_produire
G01-S13,13,/onboarding,Étape Sécurité,Code par email sélectionné,Gros plan des deux cartes 2FA,Préférence versus configuration,Email actif et App visible comme variante,G01-ONBOARDING__S13-SECURITE-EMAIL__desktop__fr__v01.png,a_produire
G01-S14,14,/onboarding,Formulaire prêt à soumettre,Aucune invitation et méthode email,Vue basse avec Démarrer essai,Contrôle final avant effet externe,Bouton final et état complet visibles,G01-ONBOARDING__S14-SOUMISSION-FINALE__desktop__fr__v01.png,a_produire
G01-S15,15,Stripe Checkout test,Checkout réel en mode test,Plan Team période Mensuel et essai,Gros plan sans carte ni identifiant sensible,Frontière de facturation,Mode test et récapitulatif authentique visibles,G01-ONBOARDING__S15-STRIPE-CHECKOUT-TEST__desktop__fr__v01.png,a_produire
G01-S16,16,/two-factor-challenge,Challenge 2FA vide,Code par email sans code affiché,Vue générale du challenge,2FA avant premier dashboard,Route méthode et durée visibles,G01-ONBOARDING__S16-CHALLENGE-2FA__desktop__fr__v01.png,a_produire
G01-S17,17,/dashboard,Premier tableau de bord sécurisé,Salon Éclat,Vue large avec identité et navigation,Preuve finale du parcours,Espace Salon Éclat accessible,G01-ONBOARDING__S17-TABLEAU-DE-BORD__desktop__fr__v01.png,a_produire
G01-S18,18,/onboarding,Annexe membre en attente,Compte membre d'un propriétaire incomplet,Vue complète de PendingOwner,Seul le propriétaire finalise,Message d'attente et deux actions visibles,G01-ONBOARDING__S18-MEMBRE-PENDING-OWNER__desktop__fr__v01.png,a_produire
G01-S19,19,/onboarding,Annexe erreur Solo Team,Taille 2 ou invitation avec solo_pro,Gros plan plan et erreur réelle,Solo propriétaire uniquement,Erreur plan visible et onboarding incomplet,G01-ONBOARDING__S19-ERREUR-SOLO-TEAM__desktop__fr__v01.png,a_produire
G01-S20,20,/onboarding,Annexe checkout annulé,Retour status cancel sans identifiant,Gros plan message d'erreur et contexte,Annulation ne vaut pas succès,Onboarding toujours ouvert avec erreur,G01-ONBOARDING__S20-CHECKOUT-ANNULE__desktop__fr__v01.png,a_produire
G01-S21,21,/onboarding,Annexe préférence App,Application authentification sélectionnée,Gros plan carte App avec cartouche explicatif,Préférence sans secret TOTP,Choix visible sans prétendre activation,G01-ONBOARDING__S21-SECURITE-APP-PREFERENCE__desktop__fr__v01.png,a_produire
