capture_id,sequence,route,ui_state,data,framing,narration_focus,expected_proof,canonical_filename,status
G03-S01,1,/customer,Recherche sans résultat,Nora Bouchard puis nora.bouchard@example.test,Vue large avec titre liste recherche et résultat,Prévenir les doublons,Aucune fiche Nora visible,G03-CLIENT__S01-RECHERCHE-ABSENTE__desktop__fr__v01.png,a_produire
G03-S02,2,/customer/create,Formulaire vierge,Particulier par défaut,Vue générale du haut du formulaire,Présenter la carte de l'écran,Route et sections initiales visibles,G03-CLIENT__S02-FORMULAIRE-VIERGE__desktop__fr__v01.png,a_produire
G03-S03,3,/customer/create,Type et avatar,Particulier plus avatar preset,Gros plan type photo et choix avatar,Différence Particulier Entreprise,Champs entreprise masqués,G03-CLIENT__S03-TYPE-AVATAR__desktop__fr__v01.png,a_produire
G03-S04,4,/customer/create,Identité et contact remplis,Nora Bouchard plus données example.test,Gros plan coordonnees,Obligatoire versus optionnel,Identité complète sans donnée réelle,G03-CLIENT__S04-IDENTITE-CONTACT__desktop__fr__v01.png,a_produire
G03-S05,5,/customer/create,Accès portail désactivé,Donner accès à la plateforme non,Gros plan toggle et libellé,Conséquence compte et invitation,Toggle clairement inactif,G03-CLIENT__S05-PORTAIL-DESACTIVE__desktop__fr__v01.png,a_produire
G03-S06,6,/customer/create,Auto-validation Salon Éclat,Factures non,Gros plan carte complète,Options conditionnées par modules,Seule Factures visible,G03-CLIENT__S06-AUTO-VALIDATION-FACTURES__desktop__fr__v01.png,a_produire
G03-S07,7,/customer/create,Détails additionnels remplis,Description Instagram remise 0,Gros plan section,Contexte provenance remise permanente,Valeurs lisibles et cohérentes,G03-CLIENT__S07-DETAILS-ADDITIONNELS__desktop__fr__v01.png,a_produire
G03-S08,8,/customer/create,Recherche d'adresse,245 rue Démonstration,Gros plan recherche et suggestions,Autocomplétion ou saisie manuelle,Aucune adresse personnelle,G03-CLIENT__S08-RECHERCHE-ADRESSE__desktop__fr__v01.png,a_produire
G03-S09,9,/customer/create,Adresse complète,Montréal Québec H2X 3K4 Canada,Gros plan champs et case facturation,Rôle de la ville,Adresse prête à persister,G03-CLIENT__S09-ADRESSE-COMPLETE__desktop__fr__v01.png,a_produire
G03-S10,10,/customer/create,Erreur courriel déjà utilisé,Courriel dynamique de Julie relevé dans le clone,Gros plan courriel et message,Unicité et correction,Erreur réelle visible,G03-CLIENT__S10-ERREUR-COURRIEL-DUPLIQUE__desktop__fr__v01.png,a_produire
G03-S11,11,/customer/create,Formulaire corrigé avant soumission,nora.bouchard@example.test,Vue basse avec actions,Deux sorties après enregistrement,Boutons et libellés lisibles,G03-CLIENT__S11-ACTIONS-ENREGISTREMENT__desktop__fr__v01.png,a_produire
G03-S12,12,/customer,Retour liste après création,Nora Bouchard,Vue large avec succès et ligne,Résultat réel de la redirection,Message et ligne créés,G03-CLIENT__S12-SUCCES-LISTE__desktop__fr__v01.png,a_produire
G03-S13,13,/customer/{customer},Fiche client ouverte,Nora Bouchard,Vue générale de la fiche,Vérifier les données enregistrées,Identité contact et adresse cohérents,G03-CLIENT__S13-FICHE-CREEE__desktop__fr__v01.png,a_produire
G03-S14,14,/app/reservations,Recherche dans nouvelle réservation,Nora Bouchard,Gros plan sélecteur client,Preuve fonctionnelle aval,Nora sélectionnable,G03-CLIENT__S14-PREUVE-RESERVATION__desktop__fr__v01.png,a_produire
G03-S15,15,/customer/create,Branche Entreprise sans soumission,Studio Boréal Beauté inc.,Vue des champs conditionnels,Organisation et contact principal,Entreprise immatriculation secteur visibles,G03-CLIENT__S15-VARIANTE-ENTREPRISE__desktop__fr__v01.png,a_produire
G03-S16,16,/customer/create,Préférences avancées workspace de référence,Factures plus Jobs ou Tâches,Vue de la carte avec cartouche contexte,Options variant selon modules,Contexte autre que Salon Éclat explicite,G03-CLIENT__S16-FACTURATION-CONDITIONNELLE__desktop__fr__v01.png,a_produire
