capture_id,sequence,route,ui_state,data,framing,narration_focus,expected_proof,canonical_filename,status
G06-S01,1,/promotions,Bibliothèque avant création,RENTREE20 visible et BIENVENUE10 absent,Vue large statistiques et liste,Préserver la promotion existante et vérifier le code,Absence de BIENVENUE10 sans recherche inventée,G06-PROMOTION__S01-BIBLIOTHEQUE-AVANT__desktop__fr__v01.png,a_produire
G06-S02,2,/promotions,Modale Créer une promotion vierge,Global Pourcentage dates du jour Active,Vue générale de la modale,Valeurs initiales à décider,Champs et valeurs par défaut visibles,G06-PROMOTION__S02-MODALE-VIERGE__desktop__fr__v01.png,a_produire
G06-S03,3,/promotions,Identité remplie,Bienvenue couleur et BIENVENUE10,Gros plan nom et code,Nom interne et code demandé,Valeurs exactes lisibles,G06-PROMOTION__S03-NOM-CODE__desktop__fr__v01.png,a_produire
G06-S04,4,/promotions,Cible service remplie,Service spécifique et Consultation couleur,Gros plan des deux sélecteurs,Cible exacte et non catégorie,Champ conditionnel et prestation visibles,G06-PROMOTION__S04-CIBLE-SERVICE__desktop__fr__v01.png,a_produire
G06-S05,5,/promotions,Remise remplie,Pourcentage et 10,Gros plan type et valeur,Interpréter dix pour cent,Type et valeur sans ambiguïté,G06-PROMOTION__S05-REMISE-10-POURCENT__desktop__fr__v01.png,a_produire
G06-S06,6,/promotions,Fenêtre remplie,J et J plus 30 avec exemple de session,Gros plan dates,Début fin et durabilité,Aujourd'hui inclus et fin non antérieure,G06-PROMOTION__S06-FENETRE-DATES__desktop__fr__v01.png,a_produire
G06-S07,7,/promotions,Statut et limites,Active limite 50 minimum vide,Gros plan bas de formulaire,Limite globale et absence de seuil,Trois choix visibles,G06-PROMOTION__S07-STATUT-LIMITE-MINIMUM__desktop__fr__v01.png,a_produire
G06-S08,8,/promotions,Erreur code dupliqué,RENTREE20 temporaire,Gros plan code et message,Unicité après normalisation,Erreur serveur réelle visible,G06-PROMOTION__S08-ERREUR-CODE-DUPLIQUE__desktop__fr__v01.png,a_produire
G06-S09,9,/promotions,Formulaire corrigé avant soumission,BIENVENUE10 et toutes valeurs canoniques,Vue générale ou montage haut bas,Relecture complète,Aucune erreur et aucune valeur perdue,G06-PROMOTION__S09-FORMULAIRE-CORRIGE__desktop__fr__v01.png,a_produire
G06-S10,10,/promotions,Retour bibliothèque après création,Modale fermée et message succès si présent,Vue large page,Comportement réel de sauvegarde,Retour sur la même route confirmé,G06-PROMOTION__S10-RETOUR-BIBLIOTHEQUE__desktop__fr__v01.png,a_produire
G06-S11,11,/promotions,Ligne promotion créée,BIENVENUE10 Consultation couleur 10 pourcent dates 0 sur 50 Active,Vue de ligne complète,Preuve de configuration et validité,Code cible remise fenêtre compteur et badges visibles,G06-PROMOTION__S11-LIGNE-CREEE-VALIDE__desktop__fr__v01.png,a_produire
G06-S12,12,/promotions,Modale Modifier promotion,Toutes valeurs persistées,Vue générale puis gros plan minimum vide,Contrôle des données non résumées,Cible limite et minimum cohérents,G06-PROMOTION__S12-REOUVERTURE-EDITION__desktop__fr__v01.png,a_produire
G06-S13,13,/social/composer,Compositeur Pulse prérempli,Nom remise code cible et fenêtre,Vue texte prérempli avec contexte source,Preuve aval marketing sans publication,Données promotion réutilisées et aucun envoi,G06-PROMOTION__S13-PREUVE-PULSE__desktop__fr__v01.png,a_produire
G06-S14,14,/promotions,Annexe types de cible,Global Client Produit Service,Montage des sélecteurs avec cartouche annexe,Champ Cible conditionnel,Global sans cible et autres avec cible,G06-PROMOTION__S14-VARIANTES-CIBLES__desktop__fr__v01.png,a_produire
G06-S15,15,/promotions,Annexe remise et contraintes,Montant fixe minimum et Inactive,Montage bas de modale avec cartouche annexe,Variantes non enregistrées,Contrôles visibles sans altérer BIENVENUE10,G06-PROMOTION__S15-VARIANTES-REMISE-LIMITES__desktop__fr__v01.png,a_produire
