capture_id,sequence,route,ui_state,data,framing,narration_focus,expected_proof,canonical_filename,status
G07-S01,1,/team,Recherche sans résultat,Emma Laurent puis emma.laurent@example.test,Vue large recherche et résultat,Prévenir le doublon,Aucune Emma visible,G07-EQUIPE__S01-RECHERCHE-ABSENTE__desktop__fr__v01.png,a_produire
G07-S02,2,/settings/roles-permissions,Rôle préparé,Praticienne salon accès limité,Vue du rôle et groupes utiles,Minimum nécessaire,Permissions utiles et exclusions visibles,G07-EQUIPE__S02-ROLE-ACCES-PREPARE__desktop__fr__v01.png,a_produire
G07-S03,3,/team,Modale vierge,Profil Membre par défaut ou initial,Vue complète de la modale,Création intégrée à la liste,Titre et sections visibles,G07-EQUIPE__S03-MODALE-VIERGE__desktop__fr__v01.png,a_produire
G07-S04,4,/team,Identité et avatar,Emma Laurent plus example.test plus icône,Gros plan haut du formulaire,Données fictives et image sûre,Nom courriel icône lisibles,G07-EQUIPE__S04-IDENTITE-AVATAR__desktop__fr__v01.png,a_produire
G07-S05,5,/team,Profil et rôle sélectionnés,Membre d'équipe plus Praticienne salon,Gros plan deux sélecteurs,Profil versus rôle,Deux valeurs distinctes visibles,G07-EQUIPE__S05-PROFIL-ROLE__desktop__fr__v01.png,a_produire
G07-S06,6,/team,Fonction et téléphone,Esthéticienne plus 514-555-0178,Gros plan champs,Informations optionnelles,Valeurs de démonstration lisibles,G07-EQUIPE__S06-TITRE-TELEPHONE__desktop__fr__v01.png,a_produire
G07-S07,7,/team,Règles de planning remplies,Pause 15 min 4 h min 8 h max 32 h semaine,Gros plan carte planning,Règles sans disponibilités,Valeurs valides et cohérentes,G07-EQUIPE__S07-REGLES-PLANNING__desktop__fr__v01.png,a_produire
G07-S08,8,/team,Formulaire avant soumission,Texte invitation et actions visibles,Vue basse de la modale,Invitation toujours tentée,Conséquence lue avant clic,G07-EQUIPE__S08-AVIS-INVITATION__desktop__fr__v01.png,a_produire
G07-S09,9,/team,Erreur courriel déjà utilisé,Adresse example.test préparée déjà existante,Gros plan courriel et erreur,Unicité globale,Erreur réelle visible sans création,G07-EQUIPE__S09-ERREUR-COURRIEL-DUPLIQUE__desktop__fr__v01.png,a_produire
G07-S10,10,/team,Formulaire corrigé,emma.laurent@example.test et rôle intact,Vue complète relue,Corriger sans perdre l'accès,Formulaire final cohérent,G07-EQUIPE__S10-FORMULAIRE-CORRIGE__desktop__fr__v01.png,a_produire
G07-S11,11,/team,Retour après création,Flash succès ou avertissement réel,Vue large haut et liste,Dispatch versus création,Message exact visible,G07-EQUIPE__S11-RETOUR-CREATION__desktop__fr__v01.png,a_produire
G07-S12,12,/team,Liste filtrée,Emma Laurent active esthéticienne,Vue ligne complète,Preuve du membre créé,Nom rôle titre statut visibles,G07-EQUIPE__S12-MEMBRE-ACTIF__desktop__fr__v01.png,a_produire
G07-S13,13,/team,Détails du membre,Emma plus permissions effectives,Modale détails complète,Vérifier l'accès réel,Rôle et permissions limités visibles,G07-EQUIPE__S13-DETAILS-PERMISSIONS__desktop__fr__v01.png,a_produire
G07-S14,14,local-mail-catcher,Liste des messages locale,emma.laurent@example.test plus sujet invitation,Cadrage liste sans corps ni token,Absence de transport externe,Invitation interceptée localement,G07-EQUIPE__S14-INVITATION-LOCALE__desktop__fr__v01.png,a_produire
G07-S15,15,/app/reservations,Sélecteur Membre ouvert,Emma Laurent,Gros plan sélecteur sans soumission,Membre actif pas disponibilité,Emma proposée sans rendez-vous créé,G07-EQUIPE__S15-PREUVE-SELECTEUR__desktop__fr__v01.png,a_produire
